study,studyvisit,study_wks
SOLVD Prevent,11,104
SOLVD Prevent,12,121
SOLVD Prevent,13,138
SOLVD Prevent,14,156
SOLVD Prevent,15,173
SOLVD Prevent,16,190
SOLVD Prevent,17,208
SOLVD Prevent,18,225
SOLVD Prevent,19,242
SOLVD Prevent,20,260
SOLVD Registry,1,0
SOLVD Treat,1,0
SOLVD Treat,2,0
SOLVD Treat,3,0
SOLVD Treat,4,4
SOLVD Treat,5,6
SOLVD Treat,6,12
SOLVD Treat,7,32
SOLVD Treat,8,52
SOLVD Treat,9,68
SOLVD Treat,10,88
SOLVD Treat,11,104
SOLVD Treat,12,120
SOLVD Treat,13,140
SOLVD Treat,14,156
SOLVD Treat,15,172
SOLVD Treat,16,192
SOLVD Treat,17,208
SOLVD Prevent,18,225
SOLVD Prevent,19,242
SOLVD Prevent,20,260
STICH,0,0
STICH,INITIAL,0
STICH,BASELINE,0
STICH,30DAYS,4
STICH,4,12
STICH,4MONTH,12
STICH,FU4,12
STICH,8MONTH,32
STICH,12,52
STICH,12MONTH,52
STICH,1YEAR,52
STICH,FU12,52
STICH,18MONTH,78
STICH,24,104
STICH,24MONTH,104
STICH,FU24,104
STICH,30MONTH,130
STICH,36,156
STICH,36MONTH,156
STICH,FU36,156
STICH,42MONTH,182
STICH,48,208
STICH,48MONTH,208
STICH,FU48,208
STICH,54MONTH,234
STICH,60MONTH,260
STICH,66MONTH,286
STICH,72MONTH,312
STICH,78MONTH,338
STICH,84MONTH,364
STICH,evESVISIT1,286
STICH,evESVISIT2,312
STICH,evESVISIT3,338
STICH,evESVISIT4,364
STICH,evESVISIT5,390
STICH,evESVISIT6,416
STICH,evESVISIT7,442
STICH,evESVISIT8,468
STICH,evESVISIT9,494
STICH,evESVISIT10,520
TOPCAT,BASE,0
TOPCAT,Baseline,0
TOPCAT,WK04,4
TOPCAT,WK08,8
TOPCAT,MN04,12
TOPCAT,MN08,32
TOPCAT,MN12,52
TOPCAT,MN18,78
TOPCAT,MN24,104
TOPCAT,MN30,130
TOPCAT,MN36,156
TOPCAT,MN42,182
TOPCAT,MN48,208
TOPCAT,MN54,234
TOPCAT,MN60,260
TOPCAT,MN66,286
TOPCAT,MN72,312
IRONOUT,BASELINE,0
IRONOUT,WEEK8,8
IRONOUT,WEEK16,16
IRONOUT,WEEK1,1
LIFE,Baseline,0
LIFE,Screening,-1
LIFE,Week 2,2
LIFE,Week 4,4
LIFE,Week 8,8
LIFE,Week 10,10
LIFE,Week 12,12
LIFE,Week 16,16
LIFE,Week 20,20
LIFE,Week 24,24
LIFE,Week 26,26
