phenotype,brief_name,var_type,dist_function,default_rank,default_text,category,longitudinal
Hematocrit,hct,continuous,gaussian(),,,lab,Y
Hemoglobin,hgb,continuous,gaussian(),,,lab,Y
High density lipoprotein value,hdl_val,continuous,gaussian(),,,lab,Y
Hyperlipidemia,lipid,categorical,multinomial('identity'),1,No,comorbid,
Hypertension,htn,categorical,multinomial('identity'),1,No,comorbid,
Implantable cardiac defibrillator,icd,categorical,multinomial('identity'),1,No,procedure,
Insulin status,ins_status,categorical,multinomial('identity'),1,No,meds,
Ischemic cardiomyopathy,ischemic_cm,categorical,multinomial('identity'),,,hfchar,
LA end systolic area,laa,categorical,multinomial('identity'),,,imaging,
LA end systolic area value,laa_val,continuous,gaussian(),,,imaging,Y
LA volume index,lav_ix,categorical,multinomial('identity'),,,imaging,
LA volume index value,lav_ix_val,continuous,gaussian(),,,imaging,Y
LBBB,lbbb,categorical,multinomial('identity'),1,No,comorbid,
Low density lipoprotein value,ldl_val,continuous,gaussian(),,,lab,Y
LV diastolic diameter,lvidd,categorical,multinomial('identity'),,,imaging,
LV diastolic diameter value,lvidd_val,continuous,gaussian(),,,imaging,Y
LV diastolic volume,lvedv,categorical,multinomial('identity'),,,imaging,Y
LV diastolic volume value,lvedv_val,continuous,gaussian(),,,imaging,Y
LV diastolic volume echo,lvedv_echo,categorical,multinomial('identity'),,,imaging,Y
LV diastolic volume echo value,lvedv_echo_val,continuous,gaussian(),,,imaging,Y
LV diastolic volume mri,lvedv_mri,categorical,multinomial('identity'),,,imaging,Y
LV diastolic volume value mri,lvedv_mri_val,continuous,gaussian(),,,imaging,Y
LV diastolic volume rn,lvedv_rn,categorical,multinomial('identity'),,,imaging,Y
LV ejection fraction,ef_cat,categorical,multinomial('identity'),,,imaging,
LV mass,lvmass,categorical,multinomial('identity'),,,imaging,
LV mass value,lvmass_val,continuous,gaussian(),,,imaging,Y
LV mass index,lvmass_ix,categorical,multinomial('identity'),,,imaging,
LV mass index value,lvmass_ix_val,continuous,gaussian(),,,imaging,Y
LV mass value mri,lvmass_mri,continuous,gaussian(),,,imaging,Y
LV mass index value mri,lvmass_ix_mri,continuous,gaussian(),,,imaging,Y
LV posterior wall thickness,lvpwd,categorical,multinomial('identity'),,,imaging,
LV posterior wall thickness value,lvpwd_val,continuous,gaussian(),,,imaging,
LVEDD index,lvedd_ix,categorical,multinomial('identity'),,,imaging,
LVEDD index value,lvedd_ix_val,continuous,gaussian(),,,imaging,Y
LVESD index,lvesd_ix,categorical,multinomial('identity'),,,imaging,
LVESD index value,lvesd_ix_val,continuous,gaussian(),,,imaging,Y
LVH type,lvh_type,categorical,multinomial('identity'),,,imaging,
"Lymphocyte, %",lympho,continuous,gaussian(),,,lab,Y
Marital status,marital_status,categorical,multinomial('identity'),,,demo,
Mitral E decel time,decel_time,categorical,multinomial('identity'),,,imaging,
Mitral E decel time value,decel_time_val,continuous,gaussian(),,,imaging,Y
Mitral E/A ratio,ea_ratio,categorical,multinomial('identity'),,,imaging,
Mitral E/A ratio value,ea_ratio_val,continuous,gaussian(),,,imaging,Y
Mitral regurgitation,mr,categorical,multinomial('identity'),1,Normal/Mild,comorbid,
"Monocytes, %",mono_pct,categorical,multinomial('identity'),,,lab,Y
Myocardial infarction,mi,categorical,multinomial('identity'),1,No,comorbid,
NTBNP value,ntbnp_val,continuous,gaussian(),,,lab,Y
NYHA,nyha,categorical,multinomial('identity'),,,exam,
Obstructive sleep apnea,osa,categorical,multinomial('identity'),1,No,comorbid,
On ACE-inhibitor,acei,categorical,multinomial('identity'),1,No,meds,Y
On ACE/ARB,acearb,categorical,multinomial('identity'),1,No,meds,Y
On allopurinol,allopurinol,categorical,multinomial('identity'),1,No,meds,Y
On antiarrhythmic,antiarrhyth,categorical,multinomial('identity'),1,No,meds,Y
On ARB,arb,categorical,multinomial('identity'),1,No,meds,Y
On aspirin,asa,categorical,multinomial('identity'),1,No,meds,Y
