out_column,out_abbreviation,out_long
insulin_spectrum,Insulin status,Insulin dependence
ischemic_cm,Ischemic CM,Ischemic cardiomyopathy
jvp,JVP,Elevated jugular venous pressure
laa,LAA ,LA end systolic area
lav_ix,LAV index,LA volume index
lav_ix_val,"LAV index, ml/m2",LA volume index value
lbbb,LBBB,LBBB
lvdd,"LVDd, cm",LV diastolic diameter
lvedv,"LV EDV, mL",LV diastolic volume
ef_cat,EF,LV ejection fraction
lvmass,LV mass,LV mass
lvmass_ix,"LV mass index, g/m2",LV mass index
lvmass_ix_val,LV mass index,LV mass index value
lvpwd,"LVPWd, cm",LV posterior wall thickness
lvh_type,LV hypertrophy,LVH type
decel_time,MV decel time,Mitral E decel time
decel_time_val,MV decel time ,Mitral E decel time value
ea_ratio,E/A,Mitral E/A ratio
ea_ratio_val,E/A ratio,Mitral E/A ratio value
mitral_regurg,MR,Mitral regurgitation
mi,MI,Myocardial infarction
ntbnp,NTBNP,NTBNP
nyha,NYHA,NYHA
acei,ACEI,On ACE-inhibitor
acearb,ACEI/ARB,On ACE/ARB
antiarrhy,Antiarrhythmic,On antiarrhythmic
arb,ARB,On ARB
ASA,ASA,On aspirin
betab,BB,On beta-blocker
cachblk,CCB,On calcium channel blocker
hypog_insulin,DM therapy,On DM therapy
digoxin,Digoxin,On digoxin
hydral,Hydralazine,On hydralazine
insulin,Insulin,On insulin
nitrate,Nitrate,On long-acting nitrate
loop,Loop diuretic,On loop diuretic
mra,MRA,On MRA
oral_hypog,Oral hypoglycemic,On oral hypoglycemic
statin,Statin,On statin
thiazide,Thiazide,On thiazide diuretic
warfarin,Warfarin,On warfarin
ppm,PPM,Pacemaker
pvd,PVD,Peripheral vascular disease
cabg,CABG,Prior CABG
prior_hfh,Prior HFH,Prior HF hospitalization
pci,PCI,Prior PCI
pupr_cat,Pulse pressure,Pulse pressure
pupr_val,"Pulse pressure , mm Hg",Pulse pressure value
qrs_120,QRS > 120,QRS > 120 ms
qrs,"QRS, ms",QRS interval
race,Race,Race
rales,Rales,Rales
randgroup,Rand group,Randomization group
rbbb,RBBB,RBBB
region,Region,Region
rwt,Rel wall thickness,Relative wall thickness
revasc,CABG or PCI,Revascularization
rveda,RV EDA,RV end diastolic area
rv_function,RV function,RV function
rv_function_topcat,"RV function, TOPCAT",RV function - TOPCAT tertile
rvsp,RVSP,RV systolic pressure
rvsp_val,"RVSP, mm Hg",RV systolic pressure value
ivs,"IVS, cm",Septal wall thickness
aldo_val,Aldosterone,Serum aldosterone value
crp_val,CRP,Serum C-reactive protein value
citp_val,CITP,Serum carboxy-terminal telopeptide of collagen type I value
cgmp_val,cGMP,Serum cGMP value
cystc_val,cystatin C,Serum cystatin C value
et1_val,ET1,Serum endothelin-1 value
galac3_val,Galactin 3,Serum galectin 3 value
ntbnp_val,"NTBNP, pg/ml",Serum NT-proBNP value
piiinp_val,PIIINP,Serum pro-collagen III NTP value
tni,Troponin I,Serum troponin I
tni_val,"Troponin I, ng/ml",Serum troponin I value
uric_val,"Uric acid, mg/dL",Serum uric acid value
sex,Sex,Sex
na,"Sodium, mEq/dL",Sodium
stroke,Stroke,Stroke
sbp_cat,SBP,Systolic blood pressure
sbp_val,"SBP, mm Hg",Systolic blood pressure value
tob,Ever smoking,Tobacco use
txgroup,Treatment group,Treatment group
tr_val,TR velocity,Tricuspid velocity value
valvdz,Valvular disease,Valvular disease
