phenotype,brief_name,var_type,dist_function,default_rank,default_text
Tilburg - fatigue,Tilburg_fatigue,continuous,gaussian(),0,No
Tilburg - feel healthy,Tilburg_health,continuous,gaussian(),0,No
Tilburg - felt down,Tilburg_down,continuous,gaussian(),0,No
Tilburg - grip,Tilburg_grip,continuous,gaussian(),0,No
Tilburg - hearing,Tilburg_hearing,continuous,gaussian(),0,No
Tilburg - live alone,Tilburg_alone,continuous,gaussian(),0,No
Tilburg - memory,Tilburg_memory,continuous,gaussian(),0,No
Tilburg - miss people,Tilburg_miss,continuous,gaussian(),0,No
Tilburg - receive support,Tilburg_support,continuous,gaussian(),0,No
Tilburg - tired,tilburg_tired,continuous,gaussian(),,
Tilburg - vision,Tilburg_vision,continuous,gaussian(),0,No
Tilburg - weight loss,Tilburg_wtloss,continuous,gaussian(),0,No
"Time since last doctor, cat",months_since_doctor_cat,continuous,gaussian(),,
"Time since last doctor, cat",time_last_doctor_cat,categorical,multinomial('identity'),,
"Time since last doctor, mo",months_since_doctor_val,continuous,gaussian(),,
"Time since last doctor, mo",time_last_doctor,continuous,gaussian(),,
Times doctor in last 6 months,doctor_6mo,categorical,multinomial('identity'),,
Tired after sleeping,sleep_refreshed,categorical,multinomial('identity'),,
TNF-a receptors,tnfar_val,continuous,gaussian(),,
Tobacco use,tob,categorical,multinomial('identity'),1,No
Toilet (Barthel),barthel_toilet,continuous,gaussian(),,
Toilet (Katz),katz_toilet,continuous,gaussian(),,
Too many demands by partner,partner_demands,categorical,multinomial('identity'),,
Total cholesterol category,chol_cat,categorical,multinomial('identity'),,
Total cholesterol value,chol_val,continuous,gaussian(),,
Total Global Stress score - STSA,global_stress,continuous,gaussian(),,
Total iron binding capacity,tibc,continuous,gaussian(),,
Total MET hours weekly,tot_met_hr_wk,continuous,gaussian(),,
Total months of breast feeding,breastfeed_mo,continuous,gaussian(),,
Total months on birth control pills,ocp_mo,continuous,gaussian(),,
"Total testosterone, pg/mL",testosterone_total,continuous,gaussian(),,
Transfer (Barthel),barthel_transfer,continuous,gaussian(),,
Transfer (Katz),katz_transfer,continuous,gaussian(),,
Tricuspid pressure gradient,tr_gradient,continuous,gaussian(),,
Tricuspid regurgitation,tr,categorical,multinomial('identity'),,
Triglycerides,trig_cat,categorical,multinomial('identity'),,
Triglycerides value,trig_val,continuous,gaussian(),,
Tubal ligation,btl,categorical,multinomial('identity'),,
Type of HRT,hrt_type,categorical,multinomial('identity'),,
Used fertility treatment,fertility_tx,categorical,multinomial('identity'),,
Uses acupuncture,acupunc,categorical,multinomial('identity'),,
Uses astrology,astro,categorical,multinomial('identity'),,
Uses herbal medicine,herbal_med,categorical,multinomial('identity'),,
"Vascular endothelial grow factor receptor, ng/mL",vegfr_val,continuous,gaussian(),,
Visceral to subcutaneous fat ratio,visc_sub_fat_ratio,continuous,gaussian(),,
Waist-to-hip ratio,waist_hip_ratio,continuous,gaussian(),,
Walk (Barthel),barthel_walk,continuous,gaussian(),,
Walk 50 yards (Katz),katz_walk,continuous,gaussian(),,
Wast circumfernce - cm,waist_cm,continuous,gaussian(),,
