phenotype,brief_name,var_type,dist_function,default_rank,default_text
Ever breast fed,ever_breastfed,categorical,multinomial('identity'),1,No
Ever taken birth control pills,ocp_ever,categorical,multinomial('identity'),,
Exercise MET hours weekly,exerc_met_hr_wk,continuous,gaussian(),,
Exhaustion (frailty),exhaust_frailty,continuous,gaussian(),,
Fall asleep during day,day_sleep,categorical,multinomial('identity'),,
Family income classification,family_income,categorical,multinomial('identity'),,
Family income classification - 5,fam_inc_cat4,categorical,multinomial('identity'),,
Family support score-4,fss,continuous,gaussian(),,
Fasting blood glucose value,fast_glucose,continuous,gaussian(),,
Father living,father_alive,categorical,multinomial('identity'),,
Fatigue (frailty),fatigue_frailty,categorical,multinomial('identity'),,
Feels cared for by partner,cared_for_by_partner,categorical,multinomial('identity'),,
Feels healthy (frailty),feel_healthy_frailty,continuous,gaussian(),,
Feels lonely (frailty),lonely_frailty,continuous,gaussian(),,
Felt anxious (frailty),anxious_frailty,continuous,gaussian(),,
Felt down (frailty),down_frailty,continuous,gaussian(),,
Ferritin,ferritin,continuous,gaussian(),,
FEV1 % predicted - value,fev1_pct_cat,categorical,multinomial('identity'),,
FEV1 % predicted severity,fev1_pct_val,continuous,gaussian(),,
FEV1/FVC class,fev1_fvc_cat,categorical,multinomial('identity'),,
FEV1/FVC value,fev1_fvc_val,continuous,gaussian(),,
FHS physical activity index,fhs_pai,continuous,gaussian(),,
FIFE - appetite,fife_appetite,continuous,gaussian(),,
FIFE - bathing,fife_bathing,continuous,gaussian(),,
FIFE - bed,fife_bed,continuous,gaussian(),,
FIFE - feel healthy,fife_feels_healthy,continuous,gaussian(),,
FIFE - hospital,fife_hospital,continuous,gaussian(),,
FIFE - tired,fife_tired,continuous,gaussian(),,
FIFE - weight loss,fife_wtlostt,continuous,gaussian(),,
Fish - daily servings,fish_daily,continuous,gaussian(),,
Forced expiratory value - 1 second,fev1,continuous,gaussian(),,
Forced vital capacity,fvc,continuous,gaussian(),,
FRAIL - category,frail_cat,categorical,multinomial('identity'),,
FRAIL - illness,frail_illness,categorical,multinomial('identity'),,
FRAIL - total,frail_total,continuous,gaussian(),,
Framingham Risk Score - CAD,fram_cad,continuous,gaussian(),,
Framingham Risk Score - CVD,fram_cvd,continuous,gaussian(),,
"Free testosterone, pg/mL",testosterone_free,continuous,gaussian(),,
Frequency eating out per week,eat_out,continuous,gaussian(),,
Frequency of doctor visits,doctor_frequency,categorical,multinomial('identity'),,
FRIED - activity index,Fried - activity index,categorical,multinomial('identity'),,
FRIED - category,fried_cat,categorical,multinomial('identity'),,
FRIED - exhaustion,exhaustion_fried,continuous,gaussian(),,
FRIED - grip strength,grip_fried,continuous,gaussian(),,
FRIED - slow walk time,walk_fried,continuous,gaussian(),,
FRIED - total,fried_total,continuous,gaussian(),,
FRIED - weight loss,wt_loss_fried,continuous,gaussian(),,
Friends more interesting (frailty),friends_interesting_frailty,categorical,multinomial('identity'),,
Friends more successful (frailty),friends_sucessful_frailty,continuous,gaussian(),,
Functional Activities Questionnaire,faq,continuous,gaussian(),,
GED - father,ged_f,categorical,multinomial('identity'),,
GED - mother,ged_m,categorical,multinomial('identity'),,
GED - partner,ged_p,categorical,multinomial('identity'),,
GED/HS,ged,categorical,multinomial('identity'),,
Gestational diabetes,gest_dm,categorical,multinomial('identity'),1,No
Gets medical care from,where_medical_care,categorical,multinomial('identity'),,
Global longitudinal strain,gls,categorical,multinomial('identity'),,
Global longitudinal strain value,gls_value,continuous,gaussian(),,
Glucose,glucose,continuous,gaussian(),,
Grip strength (frailty),grip_frailty,continuous,gaussian(),,
Grip strength (Fried),grip_fried,continuous,gaussian(),,
Handedness,handed,categorical,multinomial('identity'),,
Has enough contact with someone close,enough_close_contact_frailty,continuous,gaussian(),,
Has enough income (frailty),enough_income_frailty,continuous,gaussian(),,
Has healthcare coverage,has_coverage,categorical,multinomial('identity'),,
Has healthcare coverage (frailty),coverage_frailty,continuous,gaussian(),,
Has Medicaid,medicare,categorical,multinomial('identity'),,
Has Medicaid (frailty),medicaid_frailty,continuous,gaussian(),,
Has Medicare,medicaid,categorical,multinomial('identity'),,
Has Medicare (frailty),medicare_frailty,continuous,gaussian(),,
Has other insurance,other_insurance,categorical,multinomial('identity'),,
Has private insurance,private_insurance,categorical,multinomial('identity'),,
Has someone to give trusted advice (frailty),trusted_advice_frailty,continuous,gaussian(),,
Has VA coverage,va_coverage,categorical,multinomial('identity'),,
HDL category,hdl_cat,categorical,multinomial('identity'),,
HDL value,hdl_val,continuous,gaussian(),,
Health compared to peers,compare_health,categorical,multinomial('identity'),,
Health interfered with social activities (frailty),health_stop_activity,continuous,gaussian(),,
Health interfered with social activities (SFE12),interfere_soc_act_sf12,categorical,multinomial('identity'),,
Healthy choice sub-score,healthy_subscore,continuous,gaussian(),,
Heart failure,hf,categorical,multinomial('identity'),,
Heart failure (frailty),hf_frailty,continuous,gaussian(),,
Heart rate,hr,categorical,multinomial('identity'),,
Heart rate value,hr_val,continuous,gaussian(),,
Heart rate variability - RMSD,rmsd,continuous,gaussian(),,
Heart rate variability - SDNN,sdnn,continuous,gaussian(),,
Heavy drinker,heavy_etoh,categorical,multinomial('identity'),,
Heavy housework (frailty),heavy_housework_frailty,continuous,gaussian(),,
Height - cm,height_cm,continuous,gaussian(),,
Helps others with ADLs (frailty),help_others_fraily,continuous,gaussian(),,
Helps others with ADLs (frailty),helps_others_frailty,continuous,gaussian(),,
Hematocrit,hct,continuous,gaussian(),,
Hemoglobin,hgb,continuous,gaussian(),,
Herbal tea - daily servings,herbal_tea_daily,continuous,gaussian(),,
High sensitivity C-reactive protein,crp_val,continuous,gaussian(),,
"high sensitivity troponin I, pg/mL",hs_tropi,continuous,gaussian(),,
HOMA-B value,homa_b,continuous,gaussian(),,
HOMA-IR value,homa_ir,continuous,gaussian(),,
Home/yard index,hy_index,continuous,gaussian(),,
Homocysteine,homocys,continuous,gaussian(),,
Hormone replacement therapy since last visit,hrt_lastvisit,categorical,multinomial('identity'),,
"Hormone replacement therapy, current",hrt_current,categorical,multinomial('identity'),,
"Hormone replacement therapy, ever",hrt_ever,categorical,multinomial('identity'),,
"Hormone replacement therapy, ever",hrt_ever,categorical,multinomial('identity'),,
Hospital stay (frailty),recent_hosp_frailty,continuous,gaussian(),,
Hours of sleep,sleep_hrs_val,continuous,gaussian(),,
How often sees friend with most contact (frailty),friend_freq_frailty,continuous,gaussian(),,
How often sees relative with most contact (frailty),rel_freq_frailty,continuous,gaussian(),,
HRT agent 1,hrt_med_1,categorical,multinomial('identity'),,
HRT agent 2,hrt_med_2,categorical,multinomial('identity'),,
HRT agent 3,hrt_med_3,categorical,multinomial('identity'),,
HRT agent 4,hrt_med_4,categorical,multinomial('identity'),,
HRT agent 5,hrt_med_5,categorical,multinomial('identity'),,
HRT agent 6,hrt_med_6,categorical,multinomial('identity'),,
HRT agent 7,hrt_med_7,categorical,multinomial('identity'),,
HRT agent 8,hrt_med_8,categorical,multinomial('identity'),,
HRT mechanism,hrt_mech,categorical,multinomial('identity'),,
Hygiene (Barthel),barthel_hygiene,continuous,gaussian(),,
Hyperlipidemia,hld,categorical,multinomial('identity'),1,No
Hypertension,htn,categorical,multinomial('identity'),1,No
Hypertension (frailty),htn_frailty,categorical,multinomial('identity'),,
Hypertensive disorder of pregnancy,htn_preg,categorical,multinomial('identity'),1,No
Hysterectomy,hysterectomy,categorical,multinomial('identity'),1,No
Income status,income_status,categorical,multinomial('identity'),,
Insurance covers meds,med_coverage,categorical,multinomial('identity'),,
Interpersonal support evaluation list ,isel_sf_study,continuous,gaussian(),,
Iron saturation,fe_sat,continuous,gaussian(),,
ISEL-SF - borrow car,isel_borrow_car,continuous,gaussian(),,
ISEL-SF - cant keep pace,isel_pace,continuous,gaussian(),,
ISEL-SF - don't get invited,isel_not_invited,continuous,gaussian(),,
ISEL-SF - financial advice,isel_financial_advice,continuous,gaussian(),,
ISEL-SF - friends more interesting,isel_friends_interesting,continuous,gaussian(),,
ISEL-SF - friends more successful,isel_friends_more_successful,continuous,gaussian(),,
ISEL-SF - friends to when lonely,isel_friends_when_lonely,continuous,gaussian(),,
ISEL-SF - help with chores,isel_help_with_chores,continuous,gaussian(),,
ISEL-SF - not always included with friends,isel_not_included,continuous,gaussian(),,
ISEL-SF - objective advice,isel_objective_advice,continuous,gaussian(),,
ISEL-SF - satisfied with life,isel_satisfied_with_life,continuous,gaussian(),,
ISEL-SF - someone to help when out of town,isel_out_of_town,continuous,gaussian(),,
ISEL-SF - someone to take to doctor,isel_ride_to_md,continuous,gaussian(),,
ISEL-SF - somone to turn to,isel_someone_to_turn_to,continuous,gaussian(),,
ISEL-SF - talk to fam friends,isel_talks_to_friends,continuous,gaussian(),,
ISEL-SF - trusted advice,isel_trusted_advice,continuous,gaussian(),,
Isovolumic relaxation time,ivrt,categorical,multinomial('identity'),,
Isovolumic relaxation time value,ivrt_val,continuous,gaussian(),,
JHS med nonadherence,med_nonadhere_jhs,categorical,multinomial('identity'),,
JHS sport index,sport_ix_jhs,continuous,gaussian(),,
JHS work index,work_ix_jhs,continuous,gaussian(),,
John Henryism Scale of Active Coping,henry_coping,continuous,gaussian(),,
LA end systolic area,laa,categorical,multinomial('identity'),,
LA volume index,lav_ix,categorical,multinomial('identity'),,
LA volume index value,lav_ix_val,continuous,gaussian(),,
LDL category,ldl_cat,categorical,multinomial('identity'),,
LDL value,ldl_value,continuous,gaussian(),,
Leptin,leptin,continuous,gaussian(),,
Lhbben - Someone for decisions,lsns_someone_helps_decs,continuous,gaussian(),,
Life Orientation Test,lot_val,continuous,gaussian(),,
Lipoprotein a,lpa,continuous,gaussian(),,
Live with partner (ESSI),essi_live_w_partner,continuous,gaussian(),0,0
Lives alone,live_alone,categorical,multinomial('identity'),,
Lives in nursing home,nursing_home,categorical,multinomial('identity'),,
Living with children,live_w_children,categorical,multinomial('identity'),,
Living with partner,live_with_partner,categorical,multinomial('identity'),0,0
Living with pets,pets,categorical,multinomial('identity'),1,No
Living with relatives,live_with_relative,categorical,multinomial('identity'),,
Loud snoring,snoring,categorical,multinomial('identity'),,
Love and affection (ESSI),essi_love_affect,continuous,gaussian(),,
Lubben - Close friend per month,lsns_close_friends_month,continuous,gaussian(),,
Lubben - Close friends,lsns_close_friends,continuous,gaussian(),,
Lubben - Close relative per month,lsns_close_rel_month,continuous,gaussian(),,
Lubben - Close relatives,lsns_close_rels,continuous,gaussian(),,
Lubben - Friends/month,lsns_friends_month,continuous,gaussian(),,
Lubben - Has dependent,lsns_has_dependent,continuous,gaussian(),,
Lubben - Lives alone,lsns_living_sit,continuous,gaussian(),,
Lubben - Others talk to you about decisions ,lsns_advise_others,continuous,gaussian(),,
Lubben - Relatives/month,lsns_rel_month,continuous,gaussian(),,
Lubben - Someone for decisions,somone_4_decisions_lubben,continuous,gaussian(),,
LV diastolic diameter,lvdd,categorical,multinomial('identity'),,
LV diastolic diameter value,lvdd_val,continuous,gaussian(),,
LV diastolic volume,lvedv,categorical,multinomial('identity'),,
LV diastolic volume value,lvedv_val,continuous,gaussian(),,
LV ejection fraction category,ef_cat,categorical,multinomial('identity'),,
LV ejection fraction value,ef_val,continuous,gaussian(),,
LV mass,lvmass,categorical,multinomial('identity'),,
LV mass index,lvmass_ix,categorical,multinomial('identity'),,
LV mass index value,lvmass_ix_val,continuous,gaussian(),,
LV posterior wall thickness,lvpwd,categorical,multinomial('identity'),,
LV posterior wall thickness value,lvpwd_val,continuous,gaussian(),,
LVH type,lvh_type,categorical,multinomial('identity'),,
Lymphocytes - %,lymphoc_pct,continuous,gaussian(),,
Maastricht vital exhaustion,mveq,continuous,gaussian(),,
Magnesium - frequency,mg_diet_freq,continuous,gaussian(),,
Marital category 3,marital_cat3,categorical,multinomial('identity'),,
Marital status,marital_status,categorical,multinomial('identity'),,
Marital status (ESSI),essi_marital,continuous,gaussian(),,
Matrix metalloproteinase 3,mmp3,continuous,gaussian(),,
Matrix metalloproteinase 6,mmp6,continuous,gaussian(),,
Meals per day,meals_per_day,continuous,gaussian(),,
Med adherence - Morisky scale,morisky_scale,categorical,multinomial('identity'),,
Med adherence - Morisky score,morisky_score,continuous,gaussian(),,
Menopause,menopause,categorical,multinomial('identity'),,
Mini-Mental Status Exam,mmse,continuous,gaussian(),,
Minutes motionless per day,min_nomotion_day,continuous,gaussian(),,
"Minutes motionless per day, weekday",min_nomotion_wkdy,continuous,gaussian(),,
"Minutes motionless per day, weekend",min_nomotion_wknd,continuous,gaussian(),,
Minutes of light activity per day,min_light_day,continuous,gaussian(),,
"Minutes of light activity per day, weekday",min_light_wkdy,continuous,gaussian(),,
"Minutes of light activity per day, weekend",min_light_wknd,continuous,gaussian(),,
Minutes of mod-vigorous activity per day,min_mvpa_day,continuous,gaussian(),,
"Minutes of mod-vigorous activity per day, weekday",minmvpa_wkdy,continuous,gaussian(),,
"Minutes of mod-vigorous activity per day, weekend",min_mvpa_wknd,continuous,gaussian(),,
Minutes of moderate activity per day,min_mod_day,continuous,gaussian(),,
"Minutes of moderate activity per day, weekday",min_mod_wkdy,continuous,gaussian(),,
"Minutes of moderate activity per day, weekend",min_mod_wknd,continuous,gaussian(),,
Minutes of MVPA in bouts > 10 minutes,min_mvpa_bouts_day,continuous,gaussian(),,
"Minutes of MVPA in bouts > 10 minutes, weekday",min_mvpa_bouts_weekday,continuous,gaussian(),,
"Minutes of MVPA in bouts > 10 minutes, weekend",min_mvpa_bouts_weekend,continuous,gaussian(),,
Minutes of sedentary activity per day,min_sed_day,continuous,gaussian(),,
Minutes of sedentary activity per day - sporadic,min_sed_day_sporadic,continuous,gaussian(),,
"Minutes of sedentary activity per day, weekday - sporadic",min_sed_wkdy,continuous,gaussian(),,
"Minutes of sedentary activity per day, weekday - sporadic",min_sed_wkdy_sporadic,continuous,gaussian(),,
"Minutes of sedentary activity per day, weekend",min_sed_wknd,continuous,gaussian(),,
"Minutes of sedentary activity per day, weekend - sporadic",mn_sed_wknd_sporadic,continuous,gaussian(),,
Minutes of vigorous activity per day,min_vig_day,continuous,gaussian(),,
Minutes of vigorous activity per day - sporadic,min_vig_day_sporadic,continuous,gaussian(),,
"Minutes of vigorous activity per day, weekday",min_vig_wkdy,continuous,gaussian(),,
"Minutes of vigorous activity per day, weekday - sporadic",min_vig_wkdy_sporadic,continuous,gaussian(),,
"Minutes of vigorous activity per day, weekend",min_vig_wknd,continuous,gaussian(),,
"Minutes of vigorous activity per day, weekend - sporadic",min_vig_wknd_sporadic,continuous,gaussian(),,
Minutes per day of light activity in bouts > 10 minutes ,min_light_bouts_day,continuous,gaussian(),,
"Minutes per day of light activity in bouts > 10 minutes , weekday",min_light_bouts_weekday,continuous,gaussian(),,
"Minutes per day of light activity in bouts > 10 minutes, weekend",min_light_bouts_weekend,continuous,gaussian(),,
Minutes per day of moderate activity in bouts > 10 minutes,min_mod_bouts_day,continuous,gaussian(),,
"Minutes per day of moderate activity in bouts > 10 minutes, weekday",min_mod_bouts_wkdy,continuous,gaussian(),,
"Minutes per day of moderate activity in bouts > 10 minutes, weekend",min_mod_bouts_wknd,continuous,gaussian(),,
Minutes per day of sedentary activity in bouts > 10 minutes,min_sed_bouts_day,continuous,gaussian(),,
"Minutes per day of sedentary activity in bouts > 10 minutes, weekday",min_sed_bouts_wkdy,continuous,gaussian(),,
"Minutes per day of sedentary activity in bouts > 10 minutes, weekend",min_sed_bouts_wknd,continuous,gaussian(),,
Minutes per day of vigorous activity in bouts > 10 minutes,min_vig_bouts_day,continuous,gaussian(),,
"Minutes per day of vigorous activity in bouts > 10 minutes, weekday",min_vig_bouts_wkdy,continuous,gaussian(),,
"Minutes per day of vigorous activity in bouts > 10 minutes, weekend",min_vig_bouts_wknd,continuous,gaussian(),,
Mitral E decel time,decel_time,categorical,multinomial('identity'),,
Mitral E decel time value,decel_time_val,continuous,gaussian(),,
Mitral E/A ratio,ea_ratio,categorical,multinomial('identity'),,
Mitral E/A ratio value,ea_ratio_val,continuous,gaussian(),,
Mitral regurgitation,mitral_regurg,categorical,multinomial('identity'),,
Modified Barthel Index,mod_barthel,continuous,gaussian(),,
Months taking conjugated estrogens,estrogen_months,continuous,gaussian(),,
Months taking HRT,hrt_months,continuous,gaussian(),,
Months taking HRT agent 1,hrt_agent1_duration,continuous,gaussian(),,
Months taking HRT agent 2,hrt_agent2_duration,continuous,gaussian(),,
Months taking HRT agent 3,hrt_agent3_duration,continuous,gaussian(),,
Months taking HRT agent 4,hrt_agent4_duration,continuous,gaussian(),,
Months taking HRT agent 5,hrt_agent5_duration,continuous,gaussian(),,
Months taking HRT agent 6,hrt_agent6_duration,continuous,gaussian(),,
Months taking HRT agent 7,hrt_agent7_duration,continuous,gaussian(),,
Months taking HRT agent 8,hrt_agent8_duration,continuous,gaussian(),,
Mother living,living_m,categorical,multinomial('identity'),,
Myocardial infarction,mi,categorical,multinomial('identity'),1,No
Neck circumference,neck,continuous,gaussian(),,
No one to give objective view (frailty),no_objective_view_frailty,continuous,gaussian(),,
Not always included with friends (frailty),not_included_frailty,continuous,gaussian(),,
Not invited to things (frailty),not_invited_frailty,continuous,gaussian(),,
Number close relatives,close_relatives,continuous,gaussian(),,
Number of children,num_children,continuous,gaussian(),,
Number of close friends,close_friends,continuous,gaussian(),,
Number of live births,num_live_births,continuous,gaussian(),,
Number of pregnancies,num_pregnancies,continuous,gaussian(),,
Number of siblings,siblings,categorical,multinomial('identity'),,
Nursing home stay (frailty),snf_frailty,continuous,gaussian(),,
Oatmeal - daily servings,oatmeal_daily,continuous,gaussian(),,
Obstructive sleep apnea,osa,categorical,multinomial('identity'),,
Occupation,job,categorical,multinomial('identity'),,
Often talks with friends (frailty),talks_to_friends_frailty,continuous,gaussian(),,
On ACE-inhibitor,acei,categorical,multinomial('identity'),1,No
On ACE/ARB,acearb,categorical,multinomial('identity'),1,No
On aldosterone antagonist,mra,categorical,multinomial('identity'),1,No
On anti-platelet,antipltlt,categorical,multinomial('identity'),1,No
On antiarrhythmic,antiarrhy,categorical,multinomial('identity'),1,No
On antidepressant,antidepress,categorical,multinomial('identity'),1,No
On ARB,arb,categorical,multinomial('identity'),1,No
On aspirin,ASA,categorical,multinomial('identity'),1,No
On beta-blocker,betab,categorical,multinomial('identity'),1,No
On birth control pills,ocp,categorical,multinomial('identity'),,
On BP medications,bp_meds,categorical,multinomial('identity'),1,No
On calcium channel blocker,cachblk,categorical,multinomial('identity'),1,No
On COX-2 inhibitor,cox2i,categorical,multinomial('identity'),1,No
On digoxin,digoxin,categorical,multinomial('identity'),1,No
On diuretic,diuretic,categorical,multinomial('identity'),1,No
On DM therapy,dm_meds,categorical,multinomial('identity'),1,No
On hormone replacement therapy,hrt,categorical,multinomial('identity'),1,No
On insulin,insulin,categorical,multinomial('identity'),1,No
On long-acting nitrate,nitrate,categorical,multinomial('identity'),1,No
On loop diuretic,loop,categorical,multinomial('identity'),1,No
On metformin,metformin,categorical,multinomial('identity'),1,No
On NSAIDs,nsaid,categorical,multinomial('identity'),1,No
On oral anticoagulation,warfarin,categorical,multinomial('identity'),1,No
On oral hypoglycemic,oral_hypog,categorical,multinomial('identity'),1,No
On statin,statin,categorical,multinomial('identity'),1,No
On thiazide diuretic,thiazide,categorical,multinomial('identity'),1,No
On thiazolidinediones,tzd,categorical,multinomial('identity'),1,No
On vasodilator,vasodilator,categorical,multinomial('identity'),1,No
Orthopnea,orthopnea,categorical,multinomial('identity'),,
Osteoporosis (frailty),osteo_frailty,continuous,gaussian(),,
Others talk to you about important decisions (frailty),others_ask_for_advice_frailty,continuous,gaussian(),,
Ovaries removed,num_ovaries,categorical,multinomial('identity'),,
Paroxysmal nocturnal dyspnea,pnd,categorical,multinomial('identity'),,
Partner work status,partner_work,categorical,multinomial('identity'),,
People in house,num_people_home,continuous,gaussian(),,
People to talk when lonely (frailty),talk_to_when_lonely_frailty,continuous,gaussian(),,
Perceived stress scale-4,pss4,continuous,gaussian(),,
Percent below poverty line,poverty_%,continuous,gaussian(),,
Physical Function Summary Balance Score,pfx_balance,continuous,gaussian(),,
Physical Performance Summary Battery Score,phperf_battery,continuous,gaussian(),,
Poor appetite (frailty),appetite_frailty,continuous,gaussian(),,
Poor hearing (frailty),hearing_frailty,continuous,gaussian(),,
Poor vision (frailty),vision_frailty,continuous,gaussian(),,
Population density per square mile,pop_per_mile,continuous,gaussian(),,
Preeclampsia/toxemia,preeclampsia,categorical,multinomial('identity'),,
Prior CABG,cabg,categorical,multinomial('identity'),1,No
Prior PCI,pci,categorical,multinomial('identity'),1,No
Prior pregnancy,prior_preg,categorical,multinomial('identity'),,
Problem drinker,problem_drinker,categorical,multinomial('identity'),,
Problems piling up (frailty),problem_pile_frailty,continuous,gaussian(),,
Progesterone,progesterone,categorical,multinomial('identity'),,
Progesterone use,progesterone,categorical,multinomial('identity'),,
Progestin,progestin,categorical,multinomial('identity'),,
Pulmonary S/D ratio,pv_sd_ratio_cat,categorical,multinomial('identity'),,
Pulmonary S/D ratio value,pv_sd_ratio_val,continuous,gaussian(),,
Pulse pressure,pupr_cat,categorical,multinomial('identity'),,
Pulse pressure value,pupr_val,continuous,gaussian(),,
QRS > 120 ms,qrs_120,categorical,multinomial('identity'),,
QRS interval,qrs,continuous,gaussian(),,
Race,race,categorical,multinomial('identity'),,
Rales,rales,categorical,multinomial('identity'),,
Red meat - servings/week,red_meat_wk,continuous,gaussian(),,
Relative wall thickness,rwt,categorical,multinomial('identity'),,
Relatives seen/month,rel_month,categorical,multinomial('identity'),,
Renin activity,renin_val,continuous,gaussian(),,
Revascularization,revasc,categorical,multinomial('identity'),1,No
RV end diastolic area,rveda,categorical,multinomial('identity'),,
RV end diastolic area value,rveda_val,continuous,gaussian(),,
RV end diastolic area index,rveda_ix,categorical,multinomial('identity'),,
RV end diastolic area index value,rveda_ix_val,continuous,gaussian(),,
RV function,rv_function,categorical,multinomial('identity'),,
RV fractional area change value,rvfac_val,continuous,gaussian(),,
S3 gallop,s3,categorical,multinomial('identity'),,
Satisfied with life (frailty),satisfied_frailty,continuous,gaussian(),,
Saw doctor since last visit,recent_doctor,categorical,multinomial('identity'),,
Septal wall thickness,ivs,categorical,multinomial('identity'),,
Septal wall thickness value,ivs_value,continuous,gaussian(),,
Serum aldosterone level,aldo_val,continuous,gaussian(),,
Serum BNP value,bnp_val,continuous,gaussian(),,
Serum cystatin C value,cystc_val,continuous,gaussian(),,
Serum endothelin-1 value,et1_va;,continuous,gaussian(),,
Serum galectin 3 value,galac3_val,continuous,gaussian(),,
Serum iron,iron_val,continuous,gaussian(),,
Serum NT-proBNP value,ntbnp_val,continuous,gaussian(),,
Serum troponin T value,tnt_val,continuous,gaussian(),,
Serum uric acid value,uric_val,continuous,gaussian(),,
Sex,sex,categorical,multinomial('identity'),,
"Sex hormone binding globulin, nmol/L",sx_horm_binding_val,continuous,gaussian(),,
SF-12 Bodily Pain Scale,sf12_pain,continuous,gaussian(),,
SF-12 General Health Scale,sf12_general,continuous,gaussian(),,
